clip,source,url,creator,license,checked,attribution,release,notes
clip01.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip02.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip03.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip04.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip05.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip06.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip07.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip08.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip09.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip10.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip11.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip12.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip13.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip14.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip15.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip16.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip17.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip18.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip19.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip20.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip21.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip22.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip23.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip24.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip25.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip26.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip27.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip28.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip29.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip30.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip31.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip32.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip33.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip34.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
clip35.mp4,sintel.mp4,https://durian.blender.org/,Blender Foundation,CC BY 3.0,2026-09-25,"Sintel, © copyright Blender Foundation | durian.blender.org — CC BY 3.0",,"cut from the Sintel feature; open movie, cleared for commercial reuse with attribution"
